Province,District,Zone,City/Area,Club Name,Type
Ontario,District 1,Zone A,Brantford,Kinsmen Club of Brantford,Kinsmen
Ontario,District 1,Zone A,Cambridge (Preston),Kin Club of Cambridge (Preston),Kin
Ontario,District 1,Zone A,Flamborough & District,Flamborough & District Kin Club,Kin
Ontario,District 1,Zone A,Guelph,Kinette Club of Guelph,Kinette
Ontario,District 1,Zone A,Hamilton,Kinsmen Club of Hamilton,Kinsmen
Ontario,District 1,Zone A,Kitchener-Waterloo,Kinette Club of Kitchener-Waterloo,Kinette
Ontario,District 1,Zone A,Kitchener-Waterloo,Kinsmen Club of Kitchener-Waterloo,Kinsmen
Ontario,District 1,Zone A,Oakville,Kinsmen Club of Oakville,Kinsmen
Ontario,District 1,Zone A,Stoney Creek,Kinsmen Club of Stoney Creek,Kinsmen
Ontario,District 1,Zone A,Waterloo (Grand River),Kinsmen Club of Waterloo – Grand River,Kinsmen
Ontario,District 1,Zone B,Belgrave,Kinsmen Club of Belgrave,Kinsmen
Ontario,District 1,Zone B,Centre Wellington,Kinette Club of Centre Wellington,Kinette
Ontario,District 1,Zone B,Drayton,Kinette Club of Drayton,Kinette
Ontario,District 1,Zone B,Drayton,Drayton Kinsmen Club,Kinsmen
Ontario,District 1,Zone B,Fergus & District,Kinsmen Club of Fergus & District,Kinsmen
Ontario,District 1,Zone B,Harriston,Kinsmen Club of Harriston,Kinsmen
Ontario,District 1,Zone B,Listowel,Kinette Club of Listowel,Kinette
Ontario,District 1,Zone B,Listowel,Kinsmen Club of Listowel,Kinsmen
Ontario,District 1,Zone B,Lucknow & District,Kinette Club of Lucknow & District,Kinette
Ontario,District 1,Zone B,Lucknow & District,Kinsmen Club of Lucknow & District,Kinsmen
Ontario,District 1,Zone B,Monkton & District,Kinsmen Club of Monkton & District,Kinsmen
Ontario,District 1,Zone B,Palmerston & District,Kinette Club of Palmerston & District,Kinette
Ontario,District 1,Zone C,Beaver Valley,Kinette Club of Beaver Valley,Kinette
Ontario,District 1,Zone C,Clearview,Clearview Kin Club,Kin
Ontario,District 1,Zone C,Collingwood & District,Collingwood & District Kinsmen Club,Kinsmen
Ontario,District 1,Zone C,Feversham & District,Kinsmen Club of Feversham & District,Kinsmen
Ontario,District 1,Zone C,Meaford,Kinette Club of Meaford,Kinette
Ontario,District 1,Zone C,Meaford,Kinsmen Club of Meaford,Kinsmen
Ontario,District 1,Zone C,Shelburne,Kinette Club of Shelburne,Kinette
Ontario,District 1,Zone C,Shelburne,Kinsmen Club of Shelburne,Kinsmen
Ontario,District 1,Zone C,Stayner & District,Kinsmen Club of Stayner & District,Kinsmen
Ontario,District 1,Zone C,Wasaga Beach,Kinette Club of Wasaga Beach,Kinette
Ontario,District 1,Zone D,Cayuga,Kinsmen Club of Cayuga,Kinsmen
Ontario,District 1,Zone D,Fonthill & District,Fonthill And District Kinsmen Club,Kinsmen
Ontario,District 1,Zone D,Fort Erie,Kinette Club of Fort Erie,Kinette
Ontario,District 1,Zone D,Fort Erie,Kinsmen Club of Fort Erie,Kinsmen
Ontario,District 1,Zone D,Grimsby,Kinette Club of Grimsby,Kinette
Ontario,District 1,Zone D,Niagara-on-the-Lake,Kinsmen Club of Niagara-on-the-Lake,Kinsmen
Ontario,District 1,Zone D,Ridgeway - Crystal Beach,Kin Club of Ridgeway - Crystal Beach,Kin
Ontario,District 1,Zone D,Stevensville,Kinette Club of Stevensville,Kinette
Ontario,District 1,Zone D,Stevensville,Kinsmen Club of Stevensville,Kinsmen
Ontario,District 1,Zone F,Aylmer,Kinsmen Club of Aylmer,Kinsmen
Ontario,District 1,Zone F,Delhi,Kin Club of Delhi,Kin
Ontario,District 1,Zone F,Dorchester & Area,Kinsmen Club of Dorchester & Area,Kinsmen
Ontario,District 1,Zone F,Greater London,Kinsmen Club of Greater London,Kinsmen
Ontario,District 1,Zone F,Port Dover,Kinsmen Club of Port Dover,Kinsmen
Ontario,District 1,Zone F,Simcoe,Kinsmen Club of Simcoe,Kinsmen
Ontario,District 1,Zone F,Elgin - St. Thomas,Kinette Club of Elgin - St. Thomas,Kinette
